DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município infecção e Semana epidem. 1º Sintomas(s)
Período:2026
"Município infecção";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Total"
"412570 SAO MIGUEL DO IGUACU";2;1;1;-;1;-;-;-;-;5
"412580 SAO PEDRO DO IVAI";1;2;-;-;-;2;-;1;-;6
"412600 SAO SEBASTIAO DA AMOREIRA";1;-;-;1;-;-;-;-;-;2
"412620 SAPOPEMA";-;1;1;-;-;1;2;1;-;6
"412625 SARANDI";-;-;-;-;-;2;1;-;-;3
"412640 SERTANEJA";3;6;5;8;5;13;-;-;-;40
"412650 SERTANOPOLIS";-;-;-;-;-;-;-;1;-;1
"412710 TELEMACO BORBA";2;-;1;-;-;1;-;-;-;4
"412720 TERRA BOA";-;1;-;-;-;-;-;-;-;1
"412730 TERRA RICA";-;-;1;-;-;2;2;3;-;8
"412770 TOLEDO";-;-;-;1;-;2;-;6;21;30
"412785 TRES BARRAS DO PARANA";-;-;-;-;1;-;-;-;-;1
"412795 TUPASSI";-;1;-;-;-;-;-;-;-;1
"412810 UMUARAMA";-;-;-;1;-;-;-;-;-;1
"412830 UNIFLOR";-;-;-;-;-;1;-;-;-;1
"412840 URAI";-;-;-;1;-;1;5;3;1;11
"412855 VERA CRUZ DO OESTE";-;1;-;-;-;-;-;-;-;1
"412860 VERE";4;1;1;-;-;-;1;-;-;7
"412862 ALTO PARAISO";-;-;1;1;-;1;1;-;-;4
"412870 VITORINO";-;1;1;-;-;-;-;1;-;3
"412880 XAMBRE";1;-;1;-;1;-;-;2;3;8
"420040 AGUA DOCE";-;-;1;-;-;-;-;-;-;1
"420130 ARAQUARI";-;-;-;-;-;-;1;-;-;1
"420200 BALNEARIO CAMBORIU";-;1;-;-;-;-;2;-;1;4
"420210 BARRA VELHA";-;-;-;2;-;-;1;-;-;3
"420240 BLUMENAU";-;1;-;-;-;-;-;-;-;1
"420245 BOMBINHAS";2;2;5;2;-;2;-;4;-;17
"420290 BRUSQUE";-;-;-;-;-;-;-;1;-;1
"420300 CACADOR";-;-;-;-;-;-;1;-;-;1
"420320 CAMBORIU";-;-;-;1;-;-;-;-;-;1
"420400 CATANDUVAS";-;1;-;-;-;-;-;-;-;1
"420420 CHAPECO";-;-;1;-;2;-;-;-;1;4
"420470 CUNHA PORA";1;-;-;-;-;-;-;-;-;1
"420540 FLORIANOPOLIS";1;-;-;-;3;-;-;-;-;4
"420545 FORQUILHINHA";-;-;1;-;-;-;-;-;-;1
"420620 GRAVATAL";-;-;1;-;-;-;-;-;-;1
"420640 GUARACIABA";-;1;-;-;-;-;-;-;-;1
"420650 GUARAMIRIM";1;-;-;-;-;-;-;-;-;1
"420710 ILHOTA";-;1;-;-;-;-;-;-;-;1
"420780 IRANI";-;-;-;-;-;-;-;-;1;1
"420820 ITAJAI";-;2;-;1;-;-;1;-;-;4
"420830 ITAPEMA";2;-;-;-;-;-;-;-;-;2
"420840 ITAPIRANGA";-;-;-;-;-;-;-;-;1;1
"420845 ITAPOA";2;-;-;-;1;-;-;-;-;3
"420850 ITUPORANGA";-;-;-;-;-;-;-;1;-;1
"420890 JARAGUA DO SUL";1;1;2;-;-;-;1;-;-;5
"420910 JOINVILLE";3;2;1;1;-;1;-;4;-;12
"421190 PALHOCA";-;-;-;-;-;1;1;-;-;2
"421223 PARAISO";1;-;-;-;-;-;-;-;-;1
"421310 PIRATUBA";-;-;-;1;-;-;-;-;-;1
"421480 RIO DO SUL";-;-;-;-;-;-;-;1;-;1
"421600 SAO CARLOS";-;-;-;-;-;-;-;-;1;1
"421605 SAO CRISTOVAO DO SUL";-;-;-;-;-;-;-;-;1;1
"421610 SAO DOMINGOS";-;-;-;-;-;-;-;1;-;1
"421660 SAO JOSE";2;2;1;3;5;-;1;1;-;15
"421720 SAO MIGUEL DO OESTE";-;-;-;-;-;-;1;-;-;1
"421800 TIJUCAS";-;-;-;-;1;-;-;-;-;1
"421870 TUBARAO";-;-;1;1;-;-;-;-;-;2
"421950 XANXERE";-;-;-;1;2;-;-;-;-;3
"422000 BALNEARIO RINCAO";-;-;-;-;-;1;-;-;-;1
"430010 AGUDO";-;-;-;-;-;-;1;-;-;1
"430105 ARROIO DO SAL";-;-;-;-;-;-;-;-;1;1
"430210 BENTO GONCALVES";-;-;-;1;2;1;-;-;-;4
"430240 BOM RETIRO DO SUL";-;-;-;-;-;-;-;-;1;1
"430270 BUTIA";-;-;1;-;-;-;-;-;-;1
"430280 CACAPAVA DO SUL";-;-;-;-;1;-;-;-;1;2
"430310 CACHOEIRINHA";-;-;-;-;-;1;-;-;-;1
"430390 CAMPO BOM";-;-;-;1;-;-;-;-;-;1
"430400 CAMPO NOVO";-;1;-;-;-;1;-;1;-;3
"430440 CANELA";-;-;-;-;-;-;1;3;-;4
"430460 CANOAS";2;2;-;-;-;-;-;-;-;4
"430463 CAPAO DA CANOA";-;-;1;-;-;-;-;-;-;1
"430512 CERRITO";-;-;-;-;-;-;1;-;-;1
"430513 CERRO BRANCO";-;-;-;-;-;-;1;-;-;1
"430535 CHARQUEADAS";-;-;1;1;-;-;-;-;2;4
"430540 CHIAPETTA";-;1;-;-;-;-;-;-;-;1
"430570 CONDOR";-;-;1;-;1;-;-;-;-;2
"430580 CONSTANTINA";-;-;-;-;-;-;-;1;-;1
"430585 COQUEIROS DO SUL";-;-;-;-;1;-;-;-;-;1
"430590 CORONEL BICACO";-;-;3;-;-;2;1;-;-;6
"430610 CRUZ ALTA";1;-;1;1;-;-;-;1;-;4
"430620 CRUZEIRO DO SUL";-;-;-;-;-;1;-;-;-;1
"430680 ENCANTADO";-;-;-;-;-;-;1;-;-;1
"430693 ENTRE-IJUIS";4;1;-;-;1;-;-;-;-;6
"430695 ENTRE RIOS DO SUL";-;-;-;-;-;-;-;1;-;1
"430760 ESTANCIA VELHA";-;-;-;1;-;-;-;1;2;4
"430770 ESTEIO";2;-;1;-;-;-;-;-;-;3
"430780 ESTRELA";1;-;-;-;-;-;-;-;-;1
"430781 ESTRELA VELHA";-;-;-;1;-;-;-;-;-;1
"430807 FAZENDA VILANOVA";-;-;1;-;-;-;-;-;-;1
"430845 FORTALEZA DOS VALOS";-;-;-;1;-;-;-;-;-;1
"430890 GETULIO VARGAS";-;-;-;-;-;1;-;1;-;2
"430910 GRAMADO";-;1;-;1;-;1;-;-;-;3
"430920 GRAVATAI";-;1;1;-;1;-;-;-;-;3
"430940 GUAPORE";-;-;-;-;-;-;2;2;-;4
"430955 HARMONIA";-;1;-;-;-;-;-;-;-;1
"430960 HORIZONTINA";-;1;-;-;-;1;1;-;-;3
"431000 IBIRUBA";-;-;-;1;1;-;-;-;-;2
"431020 IJUI";1;1;3;1;-;-;1;-;-;7
"431050 IRAI";-;-;-;-;-;-;-;-;2;2
"431090 JACUTINGA";-;-;-;1;-;-;1;3;-;5
"431140 LAJEADO";1;-;-;-;-;-;-;-;-;1
"431142 LAJEADO DO BUGRE";-;-;1;-;-;-;-;-;-;1
"431160 LIBERATO SALZANO";-;1;-;1;-;-;2;-;-;4
"431175 MANOEL VIANA";-;1;-;-;-;-;-;-;-;1
"431180 MARAU";-;-;-;-;1;-;-;-;-;1
"431215 MATO LEITAO";-;-;-;-;-;1;-;-;-;1
"431240 MONTENEGRO";-;1;-;-;1;-;1;4;1;8
"431275 NOVA ALVORADA";-;-;-;-;-;-;-;2;1;3
"431320 NOVA PETROPOLIS";-;1;-;-;-;-;-;-;-;1
"431337 NOVA SANTA RITA";1;-;-;-;-;-;-;-;-;1
"431340 NOVO HAMBURGO";2;2;1;1;-;1;4;-;-;11
"431365 PALMARES DO SUL";1;1;-;-;-;-;-;-;-;2
"431390 PANAMBI";-;-;-;1;-;-;-;-;-;1
"431400 PARAI";-;-;1;-;-;-;-;-;-;1
"431406 PASSA SETE";-;-;-;-;-;-;-;1;-;1
"431410 PASSO FUNDO";-;-;1;-;2;10;3;2;3;21
"431440 PELOTAS";-;1;1;-;-;-;-;-;-;2
"431470 PLANALTO";-;-;-;1;-;-;-;-;-;1
"431490 PORTO ALEGRE";1;3;1;3;-;1;1;1;-;11
"431540 REDENTORA";1;-;-;-;-;-;-;-;-;1
"431570 RIO PARDO";1;-;-;-;-;-;-;-;-;1
"431630 ROQUE GONZALES";-;-;-;-;-;-;1;-;-;1
"431645 SALTO DO JACUI";-;-;-;-;1;-;1;2;2;6
"431675 SANTA CLARA DO SUL";-;-;-;-;-;-;-;-;1;1
"431680 SANTA CRUZ DO SUL";7;-;2;2;3;1;-;-;1;16
"431690 SANTA MARIA";1;1;-;2;-;-;-;-;-;4
"431720 SANTA ROSA";1;-;2;-;-;-;-;2;-;5
"431750 SANTO ANGELO";1;-;-;-;-;-;-;1;-;2
"431770 SANTO ANTONIO DAS MISSOES";-;1;-;-;-;-;-;-;-;1
"431775 SANTO ANTONIO DO PLANALTO";-;-;-;-;-;-;1;-;-;1
"431790 SANTO CRISTO";-;-;-;1;-;1;-;-;-;2
"431830 SAO GABRIEL";-;-;2;-;-;2;4;3;1;12
"431870 SAO LEOPOLDO";-;1;-;-;-;-;-;-;-;1
"431880 SAO LOURENCO DO SUL";-;1;-;-;-;-;-;-;-;1
"431912 SAO MARTINHO DA SERRA";-;-;-;-;-;-;-;1;-;1
"431990 SAPIRANGA";2;2;1;1;-;-;-;-;-;6
"432010 SARANDI";-;-;-;-;1;-;-;-;-;1
"432020 SEBERI";-;-;-;-;-;-;1;2;1;4
"432090 TAPEJARA";-;1;-;-;-;-;-;-;-;1
"432100 TAPERA";-;-;-;-;-;-;-;-;1;1
"432120 TAQUARA";-;-;-;-;2;-;-;-;-;2
"432143 TERRA DE AREIA";-;-;-;-;-;-;-;1;-;1
"432145 TEUTONIA";-;-;-;2;2;-;1;4;3;12
"432160 TRAMANDAI";1;-;-;-;-;-;-;-;-;1
"432195 TRINDADE DO SUL";-;-;-;-;-;-;-;1;-;1
"432240 URUGUAIANA";2;-;-;-;1;-;-;-;-;3
"432260 VENANCIO AIRES";-;-;-;-;-;1;-;1;-;2
"432270 VERA CRUZ";1;1;-;-;1;-;-;-;-;3
"432300 VIAMAO";-;1;-;-;-;-;-;-;-;1
"500025 ALCINOPOLIS";-;1;-;-;-;-;-;-;-;1
"500060 AMAMBAI";1;-;-;1;6;7;4;6;2;27
"500070 ANASTACIO";2;1;1;-;2;1;2;1;-;10
"500080 ANAURILANDIA";-;1;-;-;-;-;-;-;-;1
"500090 ANTONIO JOAO";-;-;1;1;2;2;7;8;1;22
"500215 BODOQUENA";1;-;-;-;-;-;-;-;-;1
"500220 BONITO";1;-;1;1;-;5;2;6;-;16
"500240 CAARAPO";1;1;-;2;1;1;-;-;-;6
"500270 CAMPO GRANDE";1;2;2;-;1;-;-;-;-;6
"500280 CARACOL";-;-;-;-;-;-;1;1;3;5
"500290 CASSILANDIA";-;-;-;1;1;4;-;2;3;11
"500295 CHAPADAO DO SUL";-;-;1;-;-;3;-;-;-;4
"500310 CORGUINHO";-;-;-;-;-;-;1;1;1;3
"500320 CORUMBA";1;-;2;1;2;2;2;1;1;12
"500325 COSTA RICA";2;3;6;7;4;4;2;-;-;28
"500345 DEODAPOLIS";-;-;-;1;1;-;-;-;-;2
"500370 DOURADOS";-;4;1;-;1;-;-;-;-;6
"500375 ELDORADO";-;1;-;-;-;-;-;-;-;1
"500380 FATIMA DO SUL";2;1;-;2;-;1;-;1;-;7
"500430 IGUATEMI";-;-;-;-;-;-;-;1;-;1
"500440 INOCENCIA";1;-;1;1;-;-;-;-;-;3
"500460 ITAQUIRAI";-;-;-;-;2;-;-;2;-;4
"500480 JAPORA";-;-;-;-;-;-;1;-;-;1
"500490 JARAGUARI";-;-;1;-;-;-;-;-;-;1
"500500 JARDIM";2;3;-;4;2;-;-;-;-;11
"500520 LADARIO";-;-;-;-;-;1;1;4;-;6
"500525 LAGUNA CARAPA";-;-;1;1;1;3;1;1;1;9
"500570 NAVIRAI";-;-;-;-;-;-;2;-;-;2
"500580 NIOAQUE";-;-;-;-;-;-;-;3;1;4
"500627 PARAISO DAS AGUAS";-;-;1;-;-;-;-;-;-;1
"500635 PARANHOS";3;1;5;4;1;-;3;3;-;20
"500660 PONTA PORA";-;-;1;-;1;-;-;-;-;2
"500710 RIBAS DO RIO PARDO";-;-;-;-;-;-;1;1;-;2
"500730 RIO NEGRO";-;-;-;-;1;-;-;-;-;1
"500740 RIO VERDE DE MATO GROSSO";-;-;-;-;-;1;-;1;3;5
"500750 ROCHEDO";-;1;-;-;-;3;2;3;-;9
"500790 SIDROLANDIA";1;1;1;2;4;9;7;11;8;44
"500793 SONORA";1;-;-;-;-;-;-;1;-;2
"500800 TERENOS";1;-;-;-;-;-;-;-;-;1
"500830 TRES LAGOAS";6;1;-;-;1;-;-;-;-;8
"500840 VICENTINA";2;5;3;5;4;5;3;1;3;31
"510020 AGUA BOA";-;2;2;3;2;3;3;-;-;15
"510025 ALTA FLORESTA";9;9;7;4;5;6;8;5;2;55
"510030 ALTO ARAGUAIA";-;-;-;-;-;-;1;1;3;5
"510035 ALTO BOA VISTA";-;5;2;2;5;2;-;-;-;16
"510060 ALTO TAQUARI";-;-;-;-;1;1;1;-;-;3
"510100 ARAGUAIANA";-;1;-;1;3;5;2;2;1;15
"510120 ARAGUAINHA";-;-;-;-;-;-;1;-;-;1
"510125 ARAPUTANGA";1;-;-;1;-;-;-;-;-;2
"510130 ARENAPOLIS";2;1;-;-;-;-;-;-;-;3
"510140 ARIPUANA";1;1;-;1;-;1;-;-;-;4
"510170 BARRA DO BUGRES";-;-;-;-;1;1;1;2;-;5
"510180 BARRA DO GARCAS";3;4;3;13;57;38;28;48;13;207
"510183 BOA ESPERANCA DO NORTE";-;1;-;-;-;-;1;-;-;2
"510190 BRASNORTE";4;-;5;3;1;1;1;-;-;15
"510250 CACERES";9;11;9;18;7;11;13;11;6;95
"510260 CAMPINAPOLIS";-;-;-;-;1;6;-;-;-;7
"510263 CAMPO NOVO DO PARECIS";5;1;2;1;1;2;2;-;-;14
"510267 CAMPO VERDE";1;-;5;-;1;3;2;7;6;25
"510268 CAMPOS DE JULIO";3;7;7;6;8;2;1;-;-;34
"510269 CANABRAVA DO NORTE";-;1;-;-;-;1;-;-;-;2
"510270 CANARANA";1;10;10;11;21;23;19;25;3;123
"510300 CHAPADA DOS GUIMARAES";-;-;1;-;2;2;-;1;-;6
"510305 CLAUDIA";3;-;2;6;2;5;-;1;-;19
"510310 COCALINHO";-;-;1;-;-;-;-;-;-;1
"510320 COLIDER";3;2;4;2;4;1;3;1;1;21
"510325 COLNIZA";7;11;7;3;11;2;2;4;1;48
"510330 COMODORO";-;4;-;1;-;-;-;-;-;5
"510335 CONFRESA";-;-;-;-;-;-;1;-;-;1
"510337 COTRIGUACU";-;-;2;4;3;1;-;1;-;11
"510340 CUIABA";11;11;8;15;18;11;3;2;-;79
"510350 DIAMANTINO";2;1;-;4;-;4;4;2;-;17
"510360 DOM AQUINO";1;-;-;-;-;-;-;-;-;1
"510385 GAUCHA DO NORTE";-;1;-;-;-;-;-;-;-;1
"510390 GENERAL CARNEIRO";-;3;-;-;-;-;-;1;-;4
"510395 GLORIA D'OESTE";-;-;1;1;3;1;1;1;-;8
"510410 GUARANTA DO NORTE";2;2;-;4;2;-;5;4;1;20
"510452 IPIRANGA DO NORTE";-;-;1;2;3;5;1;-;-;12
"510454 ITANHANGA";-;1;-;-;-;-;-;-;-;1
"510460 ITIQUIRA";-;-;-;-;-;1;2;-;-;3
"510480 JACIARA";-;-;-;-;-;-;-;1;-;1
"510500 JAURU";-;-;-;-;-;1;-;-;-;1
"510510 JUARA";5;13;11;15;14;19;4;9;2;92
"510515 JUINA";8;4;18;7;10;3;6;2;-;58
"510517 JURUENA";-;-;-;-;-;1;-;-;-;1
"510520 JUSCIMEIRA";2;-;-;-;-;-;-;-;-;2
"510525 LUCAS DO RIO VERDE";2;3;3;2;13;17;22;14;2;78
"510550 VILA BELA DA SANTISSIMA TRINDADE";1;-;-;-;-;-;-;-;-;1
"510558 MARCELANDIA";1;1;4;2;-;1;1;3;-;13
"510560 MATUPA";-;1;-;-;-;-;-;-;-;1
"510562 MIRASSOL D'OESTE";1;1;-;1;3;5;2;1;-;14
"510590 NOBRES";-;-;-;-;1;-;-;-;-;1
"510610 NOSSA SENHORA DO LIVRAMENTO";-;-;-;-;-;-;-;1;-;1
"510615 NOVA BANDEIRANTES";-;4;-;-;-;-;-;-;-;4
"510618 NOVA LACERDA";-;-;-;-;-;-;-;1;-;1
"510619 NOVA SANTA HELENA";-;1;1;1;-;-;-;1;-;4
"510621 NOVA CANAA DO NORTE";-;-;-;1;-;-;-;-;-;1
"510622 NOVA MUTUM";2;2;3;-;2;2;1;2;2;16
"510623 NOVA OLIMPIA";1;3;3;3;8;5;9;3;-;35
"510624 NOVA UBIRATA";-;-;-;-;-;1;-;-;-;1
"510625 NOVA XAVANTINA";8;6;26;18;29;22;38;13;-;160
"510626 NOVO MUNDO";-;1;-;-;-;1;-;-;-;2
"510627 NOVO HORIZONTE DO NORTE";-;-;1;-;-;-;-;-;-;1
"510628 NOVO SAO JOAQUIM";-;-;-;-;-;-;1;1;-;2
"510629 PARANAITA";1;1;2;-;-;-;-;-;-;4
"510630 PARANATINGA";1;-;1;1;-;-;-;1;-;4
"510637 PEDRA PRETA";2;-;-;-;-;-;-;-;-;2
"510645 PLANALTO DA SERRA";-;-;-;-;-;1;-;-;-;1
"510650 POCONE";-;-;1;-;-;-;-;-;1;2
"510665 PONTAL DO ARAGUAIA";1;-;-;-;-;1;5;1;-;8
"510670 PONTE BRANCA";-;1;-;-;-;-;-;-;-;1
"510675 PONTES E LACERDA";3;1;3;1;1;1;-;1;-;11
"510677 PORTO ALEGRE DO NORTE";1;-;-;-;-;-;-;-;-;1
"510680 PORTO DOS GAUCHOS";34;29;21;16;11;5;3;-;-;119
"510682 PORTO ESPERIDIAO";-;-;2;2;-;-;-;-;-;4
"510685 PORTO ESTRELA";-;-;-;-;1;-;-;-;-;1
"510700 POXOREO";-;-;2;-;-;-;-;-;-;2
"510704 PRIMAVERA DO LESTE";-;-;2;1;1;3;1;2;1;11
"510706 QUERENCIA";-;1;-;2;2;2;-;-;-;7
"510710 SAO JOSE DOS QUATRO MARCOS";7;6;4;5;6;1;5;1;-;35
"510715 RESERVA DO CABACAL";8;3;3;4;1;1;-;-;-;20
"510719 RIBEIRAOZINHO";1;-;-;1;1;-;1;3;-;7
"510720 RIO BRANCO";-;1;1;-;-;-;-;-;3;5
"510724 SANTA CARMEM";3;1;-;2;-;1;1;7;-;15
"510760 RONDONOPOLIS";4;1;-;3;-;1;1;-;-;10
"510770 ROSARIO OESTE";2;1;2;1;-;-;-;-;-;6
"510780 SANTO ANTONIO DO LEVERGER";-;-;-;-;2;-;-;-;-;2
"510785 SAO FELIX DO ARAGUAIA";1;1;2;-;-;-;4;4;4;16
"510787 SAPEZAL";2;1;-;2;1;6;5;2;1;20
"510788 SERRA NOVA DOURADA";-;-;-;1;-;1;-;-;-;2
"510790 SINOP";2;6;7;5;18;11;15;9;3;76
"510792 SORRISO";1;2;4;4;1;2;1;1;-;16
"510794 TABAPORA";-;1;-;-;-;1;1;1;4;8
"510795 TANGARA DA SERRA";27;40;49;51;58;33;34;32;18;342
"510800 TAPURAH";-;-;-;-;3;1;1;-;-;5
"510805 TERRA NOVA DO NORTE";1;2;2;2;3;-;-;-;-;10
"510820 TORIXOREU";1;1;1;1;-;-;-;-;-;4
"510835 VALE DE SAO DOMINGOS";-;-;-;-;-;1;-;-;-;1
"510840 VARZEA GRANDE";6;6;7;5;4;19;18;38;29;132
"510850 VERA";-;-;-;-;-;-;1;-;-;1
"510885 NOVA MARILANDIA";-;1;-;-;-;-;-;-;-;1
"510890 NOVA MARINGA";-;-;1;-;-;-;-;-;-;1
"520005 ABADIA DE GOIAS";-;-;3;-;1;1;1;1;-;7
"520010 ABADIANIA";-;2;-;1;-;-;-;1;-;4
"520013 ACREUNA";-;-;1;1;-;-;1;1;-;4
"520020 AGUA LIMPA";-;-;-;-;-;-;1;-;-;1
"520025 AGUAS LINDAS DE GOIAS";2;1;2;21;4;8;4;1;-;43
"520030 ALEXANIA";-;-;-;-;-;-;1;-;-;1
"520055 ALTO HORIZONTE";-;-;-;1;-;-;-;-;-;1
"520060 ALTO PARAISO DE GOIAS";2;-;3;2;-;2;-;-;-;9
"520080 ALVORADA DO NORTE";2;-;-;-;-;1;1;-;-;4
"520085 AMERICANO DO BRASIL";-;1;-;-;1;-;-;-;-;2
"520090 AMORINOPOLIS";-;-;1;-;1;1;-;-;-;3
"520110 ANAPOLIS";35;29;40;37;46;52;127;121;46;533
"520130 ANICUNS";6;13;23;16;25;22;17;39;45;206
"520140 APARECIDA DE GOIANIA";367;424;436;416;496;445;385;192;12;3173
"520145 APARECIDA DO RIO DOCE";-;1;1;-;-;1;-;-;1;4
"520160 ARACU";-;-;1;-;1;-;-;-;-;2
"520170 ARAGARCAS";-;-;-;-;1;1;1;-;-;3
"520180 ARAGOIANIA";-;1;-;1;1;-;-;1;-;4
"520215 ARAGUAPAZ";-;-;-;-;1;-;-;1;-;2
"520260 AURILANDIA";-;-;-;-;-;-;1;-;1;2
"520310 BALIZA";-;1;4;1;-;2;-;-;-;8
"520320 BARRO ALTO";-;2;1;2;1;1;2;4;3;16
"520330 BELA VISTA DE GOIAS";-;3;-;-;1;1;-;3;-;8
"520340 BOM JARDIM DE GOIAS";11;15;7;29;15;29;24;17;10;157
"520350 BOM JESUS DE GOIAS";18;14;22;52;33;28;39;27;4;237
"520355 BONFINOPOLIS";-;-;-;-;1;1;-;-;-;2
"520360 BRAZABRANTES";-;-;-;-;-;-;-;1;-;1
"520380 BRITANIA";2;14;5;6;9;23;21;20;6;106
"520390 BURITI ALEGRE";-;1;-;6;3;1;7;1;-;19
"520393 BURITI DE GOIAS";-;-;-;-;1;-;1;-;-;2
"520396 BURITINOPOLIS";-;-;-;-;-;1;-;-;-;1
"520400 CABECEIRAS";-;-;-;-;-;1;-;-;-;1
"520410 CACHOEIRA ALTA";-;-;1;1;-;2;7;1;-;12
"520420 CACHOEIRA DE GOIAS";1;-;-;-;-;-;-;-;-;1
"520425 CACHOEIRA DOURADA";-;-;1;-;-;2;1;1;-;5
"520430 CACU";-;1;3;4;3;-;1;-;-;12
"520440 CAIAPONIA";-;5;2;5;5;6;7;8;2;40
"520450 CALDAS NOVAS";5;22;24;56;78;90;120;87;19;501
"520455 CALDAZINHA";-;-;-;-;1;-;-;-;-;1
"520460 CAMPESTRE DE GOIAS";-;-;1;-;-;1;-;-;-;2
"520470 CAMPINORTE";-;-;-;1;-;-;-;-;-;1
"520480 CAMPO ALEGRE DE GOIAS";2;3;8;3;11;7;8;11;3;56
"520485 CAMPO LIMPO DE GOIAS";-;-;-;-;-;-;1;-;-;1
"520490 CAMPOS BELOS";1;-;-;-;-;1;-;1;-;3
"520495 CAMPOS VERDES";1;-;1;-;-;-;-;2;-;4
"520500 CARMO DO RIO VERDE";-;-;-;1;3;-;-;-;-;4
"520505 CASTELANDIA";-;-;-;-;-;-;-;1;-;1
"520510 CATALAO";36;20;27;31;33;29;21;18;11;226
"520520 CATURAI";-;-;-;-;1;-;-;-;-;1
"520530 CAVALCANTE";1;-;-;-;2;-;-;-;-;3
"520540 CERES";8;2;2;1;9;7;10;3;-;42
"520545 CEZARINA";-;-;1;-;-;-;-;-;-;1
"520549 CIDADE OCIDENTAL";2;1;1;2;2;1;-;1;-;10
"520551 COCALZINHO DE GOIAS";-;-;1;-;2;-;-;-;1;4
"520552 COLINAS DO SUL";-;-;-;-;-;-;1;-;-;1
"520570 CORREGO DO OURO";-;-;-;-;-;3;3;-;1;7
"520580 CORUMBA DE GOIAS";-;-;-;-;-;-;1;-;-;1
"520590 CORUMBAIBA";5;11;10;8;1;1;1;1;-;38
"520620 CRISTALINA";-;1;1;3;1;1;3;3;1;14
"520640 CRIXAS";3;-;2;1;4;3;5;8;1;27
"520650 CROMINIA";-;2;1;-;-;-;-;-;-;3
"520660 CUMARI";-;-;-;-;-;1;6;1;-;8
"520680 DAMOLANDIA";-;-;-;-;3;1;5;1;-;10
"520725 DOVERLANDIA";7;20;7;17;7;6;3;9;4;80
"520750 ESTRELA DO NORTE";-;-;-;-;-;-;3;-;-;3
"520753 FAINA";-;-;-;-;-;-;1;-;-;1
"520780 FIRMINOPOLIS";1;1;4;1;1;-;1;1;2;12
"520790 FLORES DE GOIAS";-;-;-;-;1;-;1;-;-;2
"520800 FORMOSA";4;13;17;17;21;21;7;17;9;126
"520810 FORMOSO";10;9;7;6;10;5;11;6;2;66
"520815 GAMELEIRA DE GOIAS";4;1;1;3;2;-;-;1;-;12
"520830 DIVINOPOLIS DE GOIAS";-;1;1;4;2;3;1;-;-;12
"520840 GOIANAPOLIS";-;-;-;1;-;-;1;-;-;2
"520850 GOIANDIRA";-;1;-;-;1;3;1;2;2;10
"520860 GOIANESIA";3;2;4;5;1;-;1;2;-;18
"520870 GOIANIA";466;500;703;732;814;834;846;601;308;5804
"520880 GOIANIRA";9;20;27;33;40;25;4;5;-;163
"520890 GOIAS";2;-;-;-;-;-;-;-;-;2
"520910 GOIATUBA";1;-;2;1;5;5;3;-;-;17
"520915 GOUVELANDIA";-;-;-;1;2;4;5;6;4;22
"520920 GUAPO";-;-;-;1;-;-;1;-;-;2
"520960 HEITORAI";1;2;1;-;1;4;-;1;1;11
"520970 HIDROLANDIA";6;7;6;3;10;15;7;2;-;56
"520990 IACIARA";-;1;5;3;4;5;2;1;-;21
"520993 INACIOLANDIA";-;-;1;1;2;13;5;14;14;50
"520995 INDIARA";3;-;1;5;8;2;6;6;5;36
"521000 INHUMAS";10;43;50;38;70;57;69;78;18;433
"521010 IPAMERI";-;-;1;-;-;2;1;-;-;4
"521020 IPORA";12;12;19;10;8;10;8;6;5;90
"521030 ISRAELANDIA";-;-;-;-;1;-;-;-;-;1
"521040 ITABERAI";-;-;1;-;1;-;-;-;-;2
"521056 ITAGUARI";-;-;2;3;-;-;-;-;-;5
"521060 ITAGUARU";-;-;-;1;-;-;-;-;-;1
"521090 ITAPACI";-;1;-;1;2;-;-;-;-;4
"521100 ITAPIRAPUA";33;27;35;23;6;-;-;1;-;125
"521120 ITAPURANGA";-;-;1;-;1;-;-;-;-;2
"521130 ITARUMA";-;-;-;-;-;1;-;-;-;1
"521140 ITAUCU";-;-;-;1;-;-;-;-;-;1
"521150 ITUMBIARA";43;55;91;93;65;144;343;349;49;1232
"521160 IVOLANDIA";-;2;1;1;-;-;1;-;-;5
"521180 JARAGUA";-;-;-;-;-;-;1;-;-;1
"521190 JATAI";90;105;164;192;230;242;210;92;4;1329
"521200 JAUPACI";-;-;-;-;-;-;-;1;-;1
"521205 JESUPOLIS";-;-;-;1;-;1;4;-;-;6
"521210 JOVIANIA";-;-;-;-;-;-;-;1;-;1
"521220 JUSSARA";32;79;81;65;49;36;29;13;4;388
"521230 LEOPOLDO DE BULHOES";-;-;-;-;1;-;-;1;1;3
"521250 LUZIANIA";24;24;34;27;22;25;33;19;2;210
"521260 MAIRIPOTABA";1;-;-;1;-;-;-;-;-;2
"521270 MAMBAI";-;-;-;-;1;-;1;-;-;2
"521290 MARZAGAO";-;-;-;-;-;-;1;-;-;1
"521295 MATRINCHA";2;1;-;-;-;-;1;-;-;4
"521300 MAURILANDIA";-;1;-;-;-;-;-;-;-;1
"521305 MIMOSO DE GOIAS";-;1;-;-;1;-;-;1;-;3
"521308 MINACU";-;-;-;3;1;-;1;8;2;15
"521310 MINEIROS";16;17;19;10;13;25;44;38;3;185
